lon,lat,bio_10,bio_11,bio_15,bio_18,bio_2,bio_3,bio_8
10.8125,59.72916666666667,15.20866584777832,-3.122666597366333,26.893537521362305,220.0,7.428999900817871,26.893281936645508,5.75933313369751
11.9375,61.145833333333336,12.12066650390625,-8.802000045776367,31.79224395751953,255.0,9.873332977294922,29.536117553710938,12.12066650390625
10.8125,59.395833333333336,15.697333335876465,-2.2826666831970215,25.043214797973633,206.0,7.667666435241699,27.749229431152344,6.736000061035156
11.145833333333332,60.020833333333336,14.87266731262207,-4.590666770935059,26.105493545532227,233.0,8.116666793823242,27.284748077392578,4.976666450500488
12.770833333333332,64.64583333333333,11.980000495910645,-5.335999965667725,25.624311447143555,267.0,6.744333267211914,25.523513793945312,3.134000062942505
8.1875,58.5625,14.636667251586914,-2.484666585922241,29.749034881591797,290.0,7.699333667755127,28.75031089782715,6.131333351135254
10.395833333333332,59.770833333333336,14.912667274475098,-3.5393333435058594,27.737260818481445,240.0,6.952666759490967,25.527488708496094,5.375999927520752
11.020833333333332,59.6875,14.696666717529297,-3.2653331756591797,27.1602783203125,238.0,7.408666610717773,27.169818878173828,5.507999897003174
10.354166666666666,64.14583333333333,11.825333595275879,-2.0199999809265137,26.652786254882812,351.0,4.839666366577148,24.174158096313477,5.188666343688965
10.645833333333332,61.0625,13.095333099365234,-7.436666488647461,33.60807418823242,240.0,7.732333183288574,25.563121795654297,13.095333099365234
11.604166666666666,61.6875,11.055999755859375,-10.14799976348877,38.14683532714844,248.0,9.7413330078125,29.00933074951172,11.055999755859375
10.395833333333332,59.0625,16.08333396911621,-1.1785714626312256,31.28545570373535,177.0,4.4071431159973145,18.696969985961914,7.769047737121582
11.479166666666666,60.22916666666667,14.461333274841309,-5.405333518981934,27.95359230041504,230.0,8.525666236877441,27.850732803344727,9.437999725341797
5.479166666666666,59.520833333333336,13.918750762939453,1.701041579246521,34.97063064575195,419.0,5.7213544845581055,29.99399185180664,5.2479166984558105
10.770833333333332,61.10416666666667,11.932000160217285,-8.03600025177002,34.091651916503906,249.0,7.788000106811523,26.060768127441406,11.932000160217285
10.395833333333332,63.1875,11.514666557312012,-3.806666612625122,22.19925880432129,261.0,7.198999881744385,30.329458236694336,10.786666870117188
9.8125,60.5625,12.72599983215332,-6.76533317565918,31.915664672851562,258.0,8.281999588012695,27.87425994873047,12.72599983215332
12.979166666666666,65.5625,10.348666191101074,-5.439333438873291,25.060070037841797,360.0,5.073333263397217,21.6697998046875,2.255333423614502
10.520833333333332,59.520833333333336,15.606250762939453,-2.058333396911621,27.70069694519043,214.0,6.662499904632568,25.405147552490234,6.639583110809326
11.145833333333332,60.270833333333336,14.46399974822998,-5.3580002784729,23.942399978637695,227.0,8.284000396728516,26.98723030090332,4.5373334884643555
8.520833333333332,59.770833333333336,10.552666664123535,-6.7779998779296875,24.061628341674805,279.0,7.381666660308838,27.424827575683594,6.076000213623047
5.8125,61.85416666666667,11.730555534362793,-0.44305554032325745,39.159603118896484,416.0,4.833333492279053,26.55677604675293,2.3763887882232666
